round,payload,prediction,result,confidence,internal_model_latency_ms,total_api_latency_ms
17,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.6754000007495051,4.703900000095018
17,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.9150999996782048,5.422900000667141
17,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.8834000002243556,5.080800000541785
17,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.7003000002659974,5.033800000092015
18,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.954700000169396,5.195600000661216
18,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.714199999696575,5.089600000246719
18,admin' --,1,SQL Injection,0.955691933631897,1.7716000002110377,4.851099999541475
18,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.6918000001169275,4.911600000014005
18,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.74440000046161,4.802200000085577
18,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.6948000002230401,5.03130000015517
18,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.7126000002463115,5.12689999959548
18,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.6785999996500323,4.6781999999438995
19,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.6691000000719214,4.909000000225205
19,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.7818999995142804,4.854900000282214
19,admin' --,1,SQL Injection,0.955691933631897,1.6046999999161926,4.778800000167394
19,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.6217000002143322,4.854700000578305
19,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.7972000005102018,4.952299999786192
19,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.6693999996277853,5.037500000071304
19,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.682500000242726,4.709799999545794
19,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.727700000628829,5.08220000028814
20,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.777100000253995,4.9019999996744446
20,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.820899999984249,5.048500000157219
20,admin' --,1,SQL Injection,0.955691933631897,1.6906000000744825,4.930499999318272
20,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.8903000000136672,5.1238999994893675
20,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.7987000001085107,5.055000000538712
20,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.6918999999688822,4.949699999997392
20,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.7207000000780681,5.116999999700056
20,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.9231999995099613,5.49829999999929
21,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.6927000006035087,5.2107000001342385
21,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.7143000004580244,5.1369000002523535
21,admin' --,1,SQL Injection,0.955691933631897,1.6533999996681814,4.737799999929848
21,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.7669999997451669,4.9917000005734735
21,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.6722000000299886,4.645000000891741
21,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.6759000000092783,4.876999999396503
21,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.724800000374671,5.062600000201201
21,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.7004999999699066,4.928299999846786
22,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.65610000021843,4.864999999881547
22,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.7166999996334198,4.950000000462751
22,admin' --,1,SQL Injection,0.955691933631897,1.8217999995613354,5.117100000461505
22,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.609400000234018,4.603399999723479
22,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.6920999996727915,5.14989999919635
22,"SELECT name, price FROM products",0,Benign,0.9998451471328735,2.011999999922409,5.080099999759113
22,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.6920999996727915,5.045200000495242
22,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.6807000001790584,4.97209999957704
23,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.841400000557769,5.083799999738403
23,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.7937000002348213,5.336900000656897
23,admin' --,1,SQL Injection,0.955691933631897,1.6047000008256873,4.789599999639904
23,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.7534999997224077,5.156900000656606
